title,category,content,keywords,source
Opening Wave,strategy,"The first coordinated wave sets the pace of a conflict. Good opening waves use accurate intel, assigned targets, and synchronized attacks.","opening wave,first wave,war","utopia wiki"
Followup Wave,strategy,"Followup waves maintain pressure after the first attacks and exploit weakened enemy provinces.","followup wave,war,coordination","utopia wiki"
Chain Management,strategy,"Successful chains require communication, target focus, and enough attackers to reduce a province effectively.","chain management,chains,target","utopia wiki"
Overpopulation Strategy,strategy,"Overpopulation reduces province performance and can limit enemy recovery after attacks.","overpopulation,population,war","utopia wiki"
Military Loss Management,strategy,"Managing military losses is important for maintaining offensive and defensive strength throughout a war.","military losses,recovery,war","utopia wiki"
Attack Planning,strategy,"Attack planning combines intel, target choice, army timing, and kingdom coordination.","attack planning,war,coordination","utopia wiki"
Defense Break,strategy,"Breaking enemy defense allows attackers to gain land and weaken opposing provinces.","defense break,attack,offense","utopia wiki"
Province Roles in War,strategy,"Different provinces contribute through attacking, magic, thievery, defense, or support roles.","roles,war,kingdom","utopia wiki"
Sacrifice Attack,strategy,"A sacrifice attack may be used for strategic goals even when land gains are not the priority.","sacrifice,attack,strategy","utopia wiki"
Wave Timing,strategy,"Synchronized attack timing reduces enemy response options and maximizes coordinated damage.","timing,waves,coordination","utopia wiki"
Target Priority,strategy,"Prioritize targets based on threat level, role, weakness, and strategic value.","priority,target selection,war","utopia wiki"
Enemy Analysis,strategy,"Analyze enemy provinces using intel, kingdom composition, and previous actions before making plans.","enemy analysis,intel,war planning","utopia wiki"
Kingdom Defense,strategy,"Kingdom defense requires communication, spell coverage, military readiness, and response planning.","kingdom defense,war,protection","utopia wiki"
Recovery Phase,strategy,"Recovery after conflict focuses on rebuilding land, military, economy, and province strength.","recovery,rebuild,post war","utopia wiki"
War Economy,strategy,"A strong war economy maintains gold, food, production, and the ability to replace losses.","economy,gold,food,war","utopia wiki"
Command Structure,strategy,"Organized kingdoms use leadership roles, assignments, and communication systems to coordinate actions.","leadership,commands,organization","utopia wiki"
